County Name:,LG ID:
Adams,01001
Alamosa,02001
Arapahoe,03001
Archuleta,04001
Baca,05001
Bent,06001
Boulder,07003
Broomfield,64030
Chaffee,08003
Cheyenne,09002
Clear Creek,10003
Conejos,11004
Costilla,12003
Crowley,13001
Custer,14001
Delta,15006
Denver,16002
Dolores,17002
Douglas,18008
Eagle,19011
El Paso,21019
Elbert,20001
Fremont,22013
Garfield,23005
Gilpin,24005
Grand,25009
Gunnison,26006
Hinsdale,27001
Huerfano,28002
Jackson,29001
Jefferson,30047
Kiowa,31004
Kit Carson,32011
La Plata,34017
Lake,33001
Larimer,35015
Las Animas,36006
Lincoln,37008
Logan,38008
Mesa,39023
Mineral,40002
Moffat,41007
Montezuma,42017
Montrose,43001
Morgan,44010
Otero,45012
Ouray,46005
Park,47012
Phillips,48007
Pitkin,49010
Prowers,50014
Pueblo,51010
Rio Blanco,52016
Rio Grande,53006
Routt,54012
Saguache,55007
San Juan,56001
San Miguel,57010
Sedgwick,58009
Summit,59021
Teller,60010
Washington,61008
Weld,62056
Yuma,63012
